review_text,good_score
"UPDATED: MAR 6, 2004 Amber, with a wonderful offwhite head. Has a sweet aroma from toffee and chocolate. Flavor is sweet, some toffee there as well. Has a mild finish, a nice surprise.",0.0
"I did not really like this beer.  Grainy, bitter, not very fun to drink.  Also a little skunky, and Ive had this more than once so I dont think it was old.",0.0
"I was quite pleased with this beer. I tried a couple a few years back when I was a young lad who didn't appreciate the 'finer things in life' and thought it was pretty bitter, but i'm glad I bought a 6 pack, especially for the cheap price. Your usual European lager really. Poured out nice golden, with a decent head. Decent malty flavour with a bitter hint, but no unbareable. Of course, it's not spectacular, but it was well worth it.",0.0
"Tried UK 3% version in 440ml can.  Light in colour kind of like piss.  Smells like toilet water, in fact, its worse than that.  Has a nasty weak chemical taste.  A very poor beer the worst I've had for quite some time.  Drain Pour, couldn't drink it all",0.0
"Clean on the palate with a musty biscuity maltiness, but it still just tastes cheap and overcarbonated.  I would probably not pick this up again.",0.0
"Shenandoah Throwdown, growler, thanks wickedpete.  Small beige head atop hazy amber body.  Aroma is medium sweet, grapefruit/orange, some flower/perfume.  Taste is moderately sweet, grapefruit, some orange, bread.  Medium body, some acidity, light chalk.",0.0
"Short stubby bottle from Morrissons clearance shelf. 4.8% ABV. Grainy aroma. Sweet, soft grainy pale lager with low carbonation. Some fruity character thats unwelcome. Cheap and nasty.",0.0
"Straw color with a tall waxy looking white head. One simple ring of lace. Light pale malt, wort and hint of vinegar in the aroma. Light and mildly effervescent. Watery wort flavor with a light spicy/grassy/hoppy finish. This could be quite satisfying on a really warm day.",0.0
"Notes of caramel sticky buns on the nose but very faint. Also grainy and slightly hoppy. Flavor followed. Not too bad. The pour is the best part - nice, clear, brown color with light brown, fluffy head.",0.0
"A passable lager... meaning, Ill probably pass on it next time.  This pale yellow beer claims to be brewed with water, grains, hops, and yeast, but I suspect theyre counting corn as a grain.  Slightly skunky, sweet malt aroma bereft of hops.  Bready malts in the flavor, corn syrup, and a very modest bitterness. Finishes slightly sweet with a light tinny taste.<font size=-4><a href=http://www.ratebeer.com/Places/ShowPlace.asp? Plainfield, IL<font size=-1>",0.0
"***review from June 21, 2008***	Another crap beer from the wonderful Beers Around the World mishap. Poured out a crystal clear medium hued solid gold brew, a small white cap, thin ropy lacing and retention just above a skim. The aromas was very dry and quite interesting somehow. Sort of sweet, a large grain content, plastic? and an odd underlying smell. The taste is less than appealing as it is very harsh and very watery with bad hops and a bit of metal. Comes across empty with a weak flavor similar to a light beer. Gassy and foamy too. Slight malt can be found in the aftertaste, which is unsavory. Why bother even finishing this?",0.0
"Tap @ OTH.	Pours dark brown with thick beige head.	Aroma had plenty of roasted malts with some light notes of sweet dark fruits.	Taste is the same, leaning on the light watery mouthfeel. Malty with same fruit sweetness.	Drinkable and tasy for what it is.",0.0
"tap at bishop arms, copenhagen. Clear yellow, small white head mild macroish hoppy aroma4 flavor is malty, bitter hoppy, sweet hoppy.",0.0
"Black cherry, currant- fruityish, candy sugar taste.Seems more Belgian than German, except for the palate- it is thin and crisp, easily downable. On Tap at Yard House, coral Gables. $6.",1.0
The bottle poured a clear dark garnet colored beverage with a medium sized frothy off-white head that was mostly diminishing and left good lacing on the glass. The aroma had a predominantly malt presence with notes of dark bread and toasted grains. The body was medium with lively carbonation and a somewhat watery texture. The finish was average in length and was lightly astringent. The initial flavor was lightly sweet and as it matured it became lightly bitter in the finish.,0.0
